AREA_NM,SIDO_NM,PTL_SIDO_CD,SRCH_CNT,SPPY_SRCH_CNT,GROW_RATE_SPPY_SRCH_CNT
서울특별시,서울특별시,KR-11,509571087,0,0.0
전남광주통합특별시,전남광주통합특별시,KR-12,165768412,0,0.0
부산광역시,부산광역시,KR-26,177089930,0,0.0
대구광역시,대구광역시,KR-27,94584077,0,0.0
인천광역시,인천광역시,KR-28,229167779,0,0.0
대전광역시,대전광역시,KR-30,72567148,0,0.0
울산광역시,울산광역시,KR-31,47677944,0,0.0
세종특별자치시,세종특별자치시,KR-36,21670218,0,0.0
경기도,경기도,KR-41,1005432947,0,0.0
충청북도,충청북도,KR-43,109230139,0,0.0
충청남도,충청남도,KR-44,173009934,0,0.0
경상북도,경상북도,KR-47,153245881,0,0.0
경상남도,경상남도,KR-48,165941102,0,0.0
제주특별자치도,제주특별자치도,KR-50,124094924,0,0.0
강원특별자치도,강원특별자치도,KR-51,256713009,0,0.0
전북특별자치도,전북특별자치도,KR-52,94211683,0,0.0
