조회연도,LEV,BASE_YEAR,FSTV_ID,FSTV_REPS_NM,DPTR_SIDO_CD,DPTR_SIDO_NM,DPTR_SGG_CD,DPTR_SGG_NM,TOU_NUM_RAT,SGG_CD,SGG_NM,SIDO_NM,PTL_SIDO_CD
2024,1,2024,KCTF0041,안동탈춤축제,11,서울특별시,,,9.23,11,서울특별시,서울,KR-11
2024,1,2024,KCTF0041,안동탈춤축제,26,부산광역시,,,3.35,26,부산광역시,부산,KR-26
2024,1,2024,KCTF0041,안동탈춤축제,27,대구광역시,,,15.26,27,대구광역시,대구,KR-27
2024,1,2024,KCTF0041,안동탈춤축제,28,인천광역시,,,1.77,28,인천광역시,인천,KR-28
2024,1,2024,KCTF0041,안동탈춤축제,29,광주광역시,,,0.40,29,광주광역시,광주,KR-29
2024,1,2024,KCTF0041,안동탈춤축제,30,대전광역시,,,1.54,30,대전광역시,대전,KR-30
2024,1,2024,KCTF0041,안동탈춤축제,31,울산광역시,,,1.86,31,울산광역시,울산,KR-31
2024,1,2024,KCTF0041,안동탈춤축제,36,세종특별자치시,,,0.48,36,세종특별자치시,세종,KR-36
2024,1,2024,KCTF0041,안동탈춤축제,41,경기도,,,11.65,41,경기도,경기,KR-41
2024,1,2024,KCTF0041,안동탈춤축제,43,충청북도,,,3.04,43,충청북도,충북,KR-43
2024,1,2024,KCTF0041,안동탈춤축제,44,충청남도,,,1.59,44,충청남도,충남,KR-44
2024,1,2024,KCTF0041,안동탈춤축제,46,전라남도,,,0.54,46,전라남도,전남,KR-46
2024,1,2024,KCTF0041,안동탈춤축제,47,경상북도,,,45.67,47,경상북도,경북,KR-47
2024,1,2024,KCTF0041,안동탈춤축제,48,경상남도,,,3.27,48,경상남도,경남,KR-48
2024,1,2024,KCTF0041,안동탈춤축제,50,제주특별자치도,,,0.36,50,제주특별자치도,제주,KR-50
2024,2,2024,KCTF0041,안동탈춤축제,11,서울특별시,11110,종로구,0.13,11110,종로구,종로구,KR-11
2024,2,2024,KCTF0041,안동탈춤축제,11,서울특별시,11140,중구,0.15,11140,중구,중구,KR-11
2024,2,2024,KCTF0041,안동탈춤축제,11,서울특별시,11170,용산구,0.19,11170,용산구,용산구,KR-11
2024,2,2024,KCTF0041,안동탈춤축제,11,서울특별시,11200,성동구,0.28,11200,성동구,성동구,KR-11
2024,2,2024,KCTF0041,안동탈춤축제,11,서울특별시,11215,광진구,0.31,11215,광진구,광진구,KR-11
2024,2,2024,KCTF0041,안동탈춤축제,11,서울특별시,11230,동대문구,0.33,11230,동대문구,동대문구,KR-11
2024,2,2024,KCTF0041,안동탈춤축제,11,서울특별시,11260,중랑구,0.39,11260,중랑구,중랑구,KR-11
2024,2,2024,KCTF0041,안동탈춤축제,11,서울특별시,11290,성북구,0.37,11290,성북구,성북구,KR-11
2024,2,2024,KCTF0041,안동탈춤축제,11,서울특별시,11305,강북구,0.26,11305,강북구,강북구,KR-11
2024,2,2024,KCTF0041,안동탈춤축제,11,서울특별시,11320,도봉구,0.23,11320,도봉구,도봉구,KR-11
2024,2,2024,KCTF0041,안동탈춤축제,11,서울특별시,11350,노원구,0.36,11350,노원구,노원구,KR-11
2024,2,2024,KCTF0041,안동탈춤축제,11,서울특별시,11380,은평구,0.53,11380,은평구,은평구,KR-11
2024,2,2024,KCTF0041,안동탈춤축제,11,서울특별시,11410,서대문구,0.40,11410,서대문구,서대문구,KR-11
2024,2,2024,KCTF0041,안동탈춤축제,11,서울특별시,11440,마포구,0.50,11440,마포구,마포구,KR-11
2024,2,2024,KCTF0041,안동탈춤축제,11,서울특별시,11470,양천구,0.37,11470,양천구,양천구,KR-11
2024,2,2024,KCTF0041,안동탈춤축제,11,서울특별시,11500,강서구,0.52,11500,강서구,강서구,KR-11
2024,2,2024,KCTF0041,안동탈춤축제,11,서울특별시,11530,구로구,0.30,11530,구로구,구로구,KR-11
2024,2,2024,KCTF0041,안동탈춤축제,11,서울특별시,11545,금천구,0.16,11545,금천구,금천구,KR-11
