DPTR_REGN_NM,DPTR_REGN_DTL_NM,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE
강원특별자치도,춘천시,2976604508.0,54558.0,3.9,654799159.0,25589.0,19.4
강원특별자치도,원주시,2976604508.0,54558.0,3.9,725581798.0,26937.0,21.5
강원특별자치도,강릉시,2976604508.0,54558.0,3.9,537476947.0,23184.0,15.9
강원특별자치도,동해시,2976604508.0,54558.0,3.9,202082612.0,14216.0,6.0
강원특별자치도,태백시,2976604508.0,54558.0,3.9,108096776.0,10397.0,3.2
강원특별자치도,속초시,2976604508.0,54558.0,3.9,208080481.0,14425.0,6.2
강원특별자치도,삼척시,2976604508.0,54558.0,3.9,137360552.0,11720.0,4.1
강원특별자치도,홍천군,2976604508.0,54558.0,3.9,115968072.0,10769.0,3.4
강원특별자치도,횡성군,2976604508.0,54558.0,3.9,73772279.0,8589.0,2.2
강원특별자치도,영월군,2976604508.0,54558.0,3.9,56816291.0,7538.0,1.7
강원특별자치도,평창군,2976604508.0,54558.0,3.9,90918356.0,9535.0,2.7
강원특별자치도,정선군,2976604508.0,54558.0,3.9,75269362.0,8676.0,2.2
강원특별자치도,철원군,2976604508.0,54558.0,3.9,81094433.0,9005.0,2.4
강원특별자치도,화천군,2976604508.0,54558.0,3.9,48147750.0,6939.0,1.4
강원특별자치도,양구군,2976604508.0,54558.0,3.9,49820743.0,7058.0,1.5
강원특별자치도,인제군,2976604508.0,54558.0,3.9,65558084.0,8097.0,1.9
강원특별자치도,고성군,2976604508.0,54558.0,3.9,65885022.0,8117.0,1.9
강원특별자치도,양양군,2976604508.0,54558.0,3.9,82069816.0,9059.0,2.4
경기도,수원시,18892404612.0,137450.0,24.5,1729220518.0,41584.0,8.0
경기도,성남시,18892404612.0,137450.0,24.5,1686534794.0,41067.0,7.8
경기도,의정부시,18892404612.0,137450.0,24.5,753812570.0,27456.0,3.5
경기도,안양시,18892404612.0,137450.0,24.5,843653370.0,29046.0,3.9
경기도,부천시,18892404612.0,137450.0,24.5,1400041184.0,37417.0,6.5
경기도,광명시,18892404612.0,137450.0,24.5,426604854.0,20654.0,2.0
경기도,평택시,18892404612.0,137450.0,24.5,885591567.0,29759.0,4.1
경기도,동두천시,18892404612.0,137450.0,24.5,152012175.0,12329.0,0.7
경기도,안산시,18892404612.0,137450.0,24.5,939692565.0,30654.0,4.3
경기도,고양시,18892404612.0,137450.0,24.5,1650435983.0,40626.0,7.6
경기도,과천시,18892404612.0,137450.0,24.5,169511412.0,13020.0,0.8
경기도,구리시,18892404612.0,137450.0,24.5,405474174.0,20136.0,1.9
경기도,남양주시,18892404612.0,137450.0,24.5,1126519166.0,33564.0,5.2
경기도,오산시,18892404612.0,137450.0,24.5,366447186.0,19143.0,1.7
경기도,시흥시,18892404612.0,137450.0,24.5,628877921.0,25077.0,2.9
경기도,군포시,18892404612.0,137450.0,24.5,447328637.0,21150.0,2.1
경기도,의왕시,18892404612.0,137450.0,24.5,204097887.0,14286.0,0.9
경기도,하남시,18892404612.0,137450.0,24.5,525328489.0,22920.0,2.4
경기도,용인시,18892404612.0,137450.0,24.5,1655951325.0,40693.0,7.7
경기도,파주시,18892404612.0,137450.0,24.5,686510290.0,26201.0,3.2
경기도,이천시,18892404612.0,137450.0,24.5,424404743.0,20601.0,2.0
경기도,안성시,18892404612.0,137450.0,24.5,353190772.0,18793.0,1.6
경기도,김포시,18892404612.0,137450.0,24.5,838714534.0,28961.0,3.9
경기도,화성시,18892404612.0,137450.0,24.5,1354229114.0,36800.0,6.3
경기도,광주시,18892404612.0,137450.0,24.5,613629012.0,24772.0,2.8
경기도,양주시,18892404612.0,137450.0,24.5,398420550.0,19960.0,1.8
경기도,포천시,18892404612.0,137450.0,24.5,281171520.0,16768.0,1.3
경기도,여주시,18892404612.0,137450.0,24.5,231195114.0,15205.0,1.1
경기도,연천군,18892404612.0,137450.0,24.5,81288092.0,9016.0,0.4
경기도,가평군,18892404612.0,137450.0,24.5,125289115.0,11193.0,0.6
경기도,양평군,18892404612.0,137450.0,24.5,224003752.0,14967.0,1.0
경상남도,창원시,5002402920.0,70728.0,6.5,1632396136.0,40403.0,28.8
경상남도,진주시,5002402920.0,70728.0,6.5,537253353.0,23179.0,9.5
경상남도,통영시,5002402920.0,70728.0,6.5,226929434.0,15064.0,4.0
경상남도,사천시,5002402920.0,70728.0,6.5,183005067.0,13528.0,3.2
경상남도,김해시,5002402920.0,70728.0,6.5,869559498.0,29488.0,15.3
경상남도,밀양시,5002402920.0,70728.0,6.5,185623050.0,13624.0,3.3
경상남도,거제시,5002402920.0,70728.0,6.5,701304282.0,26482.0,12.4
경상남도,양산시,5002402920.0,70728.0,6.5,590399904.0,24298.0,10.4
경상남도,의령군,5002402920.0,70728.0,6.5,46080184.0,6788.0,0.8
경상남도,함안군,5002402920.0,70728.0,6.5,109621508.0,10470.0,1.9
경상남도,창녕군,5002402920.0,70728.0,6.5,95734124.0,9784.0,1.7
경상남도,고성군,5002402920.0,70728.0,6.5,81415523.0,9023.0,1.4
경상남도,남해군,5002402920.0,70728.0,6.5,72240284.0,8499.0,1.3
경상남도,하동군,5002402920.0,70728.0,6.5,52371207.0,7237.0,0.9
경상남도,산청군,5002402920.0,70728.0,6.5,47379812.0,6883.0,0.8
경상남도,함양군,5002402920.0,70728.0,6.5,68157922.0,8256.0,1.2
경상남도,거창군,5002402920.0,70728.0,6.5,109759342.0,10477.0,1.9
경상남도,합천군,5002402920.0,70728.0,6.5,68503939.0,8277.0,1.2
경상북도,포항시,4278663400.0,65411.0,5.5,883506480.0,29724.0,19.3
경상북도,경주시,4278663400.0,65411.0,5.5,531204894.0,23048.0,11.6
경상북도,김천시,4278663400.0,65411.0,5.5,237509276.0,15411.0,5.2
